5.76405423e-01,9.45265733e-01
2.09517992e+00,9.83679138e-01
-6.38232364e-01,8.79679511e-01
6.16730482e-01,9.46363215e-01
1.88362836e+00,9.92872502e-01
2.60487999e+00,1.09645735e+00
-3.04961954e-01,1.09338212e+00
8.65905971e-01,1.07089309e+00
-9.49791515e-01,1.01648429e+00
-1.44503845e+00,9.79624946e-01
-1.38786102e+00,1.02847638e+00
-6.64256669e-04,8.88082623e-01
8.10684294e-01,1.07485148e+00
2.18267485e+00,1.05563428e+00
1.68875832e+00,8.34349855e-01
-6.42126041e-01,9.77386571e-01
-1.60120492e+00,1.03997921e+00
3.05478886e-01,9.17315087e-01
4.47852650e-01,1.00011572e+00
-1.04030724e+00,9.99763243e-01
1.03535398e+00,8.23768064e-01
-3.44106137e-01,9.86615302e-01
7.28421333e-01,8.55475344e-01
1.49523709e+00,1.07097558e+00
1.43741050e+00,1.11218303e+00
-1.22582377e+00,1.02019927e+00
-1.18766285e+00,1.12682079e+00
-7.14051921e-01,1.00666690e+00
4.96397258e-01,1.05907377e+00
-8.70281701e-01,1.11898646e+00
-9.80359668e-01,1.07385489e+00
3.46611710e-01,1.04531937e+00
-1.06538522e+00,9.25895719e-01
-8.12421223e-01,1.07645200e+00
1.08572106e+00,9.43289561e-01
-1.32039322e+00,9.40014244e-01
-1.07110801e+00,1.08132771e+00
-5.10457078e-01,8.95896391e-01
1.51277462e+00,9.78971857e-01
2.10645487e-01,1.20572864e+00
1.33734136e-01,8.87500968e-01
9.66536845e-01,7.16306220e-01
-1.98428747e+00,9.12298427e-01
3.33469479e-01,1.12012420e+00
-3.52145739e-01,1.03389781e+00
9.41756327e-01,1.02579902e+00
2.22214106e+00,1.04068017e+00
-7.43942879e-01,8.87479530e-01
-1.26799646e+00,1.07533085e+00
-6.62277410e-01,1.17545670e+00
